% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.182	1	0	19	3	6	28	469	0
0.183	1	0	19	4	1	14	157	0
0.183	1	0	19	4	2	8	85	0
0.183	1	0	19	4	3	12	125	0
0.183	1	0	19	4	4	2	26	0
0.183	1	0	19	4	6	28	469	0
0.184	1	0	19	5	1	14	157	0
0.184	1	0	19	5	2	8	85	0
0.184	1	0	19	5	3	12	125	0
0.184	1	0	19	5	4	2	26	0
0.184	1	0	19	5	6	28	469	0
0.185	1	0	19	6	1	14	157	0
0.185	1	0	19	6	2	8	85	0
0.185	1	0	19	6	3	12	125	0
0.185	1	0	19	6	4	2	26	0
0.185	1	0	19	6	6	28	469	0
0.186	1	0	19	7	1	14	157	0
0.186	1	0	19	7	2	8	85	0
0.186	1	0	19	7	3	12	125	0
0.186	1	0	19	7	4	2	26	0
0.186	1	0	19	7	6	28	469	0
0.187	1	0	19	8	1	14	157	0
0.187	1	0	19	8	2	8	85	0
0.187	1	0	19	8	3	12	125	0
0.187	1	0	19	8	4	2	26	0
0.187	1	0	19	8	6	28	469	0
0.188	1	0	19	9	1	14	157	0
0.188	1	0	19	9	2	8	85	0
0.188	1	0	19	9	3	12	125	0
0.188	1	0	19	9	4	2	26	0
0.188	1	0	19	9	6	28	469	0
0.189	1	0	19	10	1	14	157	0
0.189	1	0	19	10	2	8	85	0
0.189	1	0	19	10	3	12	125	0
0.189	1	0	19	10	4	2	26	0
0.189	1	0	19	10	6	28	469	0
0.19	1	0	20	1	1	14	157	0
0.19	1	0	20	1	2	8	85	0
0.19	1	0	20	1	3	12	125	0
0.19	1	0	20	1	4	2	26	0
0.19	1	0	20	1	6	28	469	0
0.191	1	0	20	2	1	14	157	0
0.191	1	0	20	2	2	8	85	0
0.191	1	0	20	2	3	12	125	0
0.191	1	0	20	2	4	2	26	0
0.191	1	0	20	2	6	28	469	0
0.192	1	0	20	3	1	14	157	0
0.192	1	0	20	3	2	8	85	0
0.192	1	0	20	3	3	12	125	0
0.192	1	0	20	3	4	2	26	0
0.192	1	0	20	3	6	28	469	0
